지점명,위도,경도
소양강댐,37.94790822,127.81469460
대청댐,36.48107155,127.48413372
안동댐,36.58840861,128.77472706
임하댐,36.54087624,128.88329571
주암댐,35.06686195,127.23906806
남강댐,35.16876294,128.03752481
합천댐,35.53657599,128.03304759
충주댐,37.00750675,127.99351570
장흥댐,34.75460989,126.88729422
밀양댐,35.48481579,128.93562497
용담댐,35.94773078,127.52769857
보령댐,36.25410626,126.63999719
횡성댐,37.54611437,128.03408901
주암조절지댐,34.95155000,127.42046001
섬진강댐,35.54293637,127.11256507
부안댐,35.68001354,126.56249286
김천부항댐,35.98223050,128.00848557
군위댐,36.12258925,128.79819096
성덕댐,36.24465307,128.96631888
영주댐,36.72465122,128.65535779
보현산댐,36.12974046,128.95082582
