구분,지점명,위도,경도
다목적댐,소양강댐,37.947908,127.814695
다목적댐,대청댐,36.481072,127.484134
다목적댐,안동댐,36.588409,128.774727
다목적댐,임하댐,36.540876,128.883296
다목적댐,주암댐,35.066862,127.239068
다목적댐,남강댐,35.168763,128.037525
다목적댐,합천댐,35.536576,128.033048
다목적댐,충주댐,37.007507,127.993516
다목적댐,장흥댐,34.754610,126.887294
다목적댐,밀양댐,35.484816,128.935625
다목적댐,용담댐,35.947731,127.527699
다목적댐,보령댐,36.254106,126.639997
다목적댐,횡성댐,37.546114,128.034089
다목적댐,주암조절지댐,34.951550,127.420460
다목적댐,섬진강댐,35.542936,127.112565
다목적댐,부안댐,35.680014,126.562493
다목적댐,김천부항댐,35.982231,128.008486
다목적댐,군위댐,36.122589,128.798191
다목적댐,성덕댐,36.244653,128.966319
다목적댐,영주댐,36.724651,128.655358
다목적댐,보현산댐,36.129740,128.950826
다목적보,강정고령,35.843451,128.453838
다목적보,합천창녕,35.586203,128.356373
다목적보,달성,35.730294,128.422573
다목적보,창녕함안,35.374318,128.556940
다목적보,칠곡,36.002467,128.395862
다목적보,이포,37.402126,127.538793
다목적보,여주,37.335534,127.598268
다목적보,강천,37.249395,127.682084
다목적보,죽산,34.969802,126.627538
다목적보,승촌,35.063138,126.765104
다목적보,백제,36.292631,126.918064
다목적보,공주,36.438292,127.061769
다목적보,세종,36.455964,127.237557
다목적보,낙단,36.331166,128.284102
다목적보,구미,36.230900,128.347666
다목적보,상주,36.430244,128.245623
용수댐,영천댐,36.063989,129.013906
용수댐,수어댐,35.031450,127.716986
용수댐,대암댐,35.542970,129.183829
용수댐,사연댐,35.579726,129.195934
용수댐,광동댐,37.342812,128.948184
용수댐,안계댐,36.005727,129.261132
용수댐,달방댐,37.505755,129.037717
용수댐,운문댐,35.722902,128.917482
용수댐,대곡댐,35.619109,129.176721
용수댐,감포댐,35.848111,129.513009
용수댐,연초댐,34.939050,128.663419
용수댐,구천댐,34.822184,128.636755
용수댐,선암댐,35.513032,129.331902
용수댐,평림댐,35.289609,126.682835
