datetime,product,platform,orbit,rel_orbit,sk_overlap_pct,cdse_id,on_x_drive,x_paths
2025-07-07 09:23:21,GRD,sentinel-1a,ascending,54,31.98,S1A_IW_GRDH_1SDV_20250707T092321_20250707T092350_059976_077359_E45B_COG,YES,X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_SLC\2_Preprocessing\GRD\202507\07\S1A_IW_GRDH_1SDV_20250707T092321_20250707T092350_059976_077359_E45B_COG.SAFE | X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_SLC\2_Preprocessing\GRD\202507\07\S1A_IW_GRDH_1SDV_20250707T092321_20250707T092350_059976_077359_E45B_COG.SAFE\S1A_IW_GRDH_1SDV_20250707T092321_20250707T092350_059976_077359_EDCA.SAFE-report-20250707T113719.pdf | X:\02_Analysis\20250725_Namgang\54\S1A_IW_GRDH_1SDV_20250707T092321_20250707T092350_059976_077359_EDCA.zip
2025-07-07 09:23:21,SLC,sentinel-1a,ascending,54,32.92,S1A_IW_SLC__1SDV_20250707T092321_20250707T092351_059976_077359_41BD,YES,X:\02_Analysis\20250717_Flood\Sentinel-1\coherence\S1A_IW_SLC__1SDV_20250707T092321_20250707T092351_059976_077359_41BD_Orb_Stack_ifg_deb_TC_coh.tif | X:\02_Analysis\20250725_Namgang\54\S1A_IW_SLC__1SDV_20250707T092321_20250707T092351_059976_077359_41BD.zip
2025-07-07 09:23:48,SLC,sentinel-1a,ascending,54,63.14,S1A_IW_SLC__1SDV_20250707T092348_20250707T092402_059976_077359_71EB,NO,
2025-07-07 09:23:50,GRD,sentinel-1a,ascending,54,63.09,S1A_IW_GRDH_1SDV_20250707T092350_20250707T092402_059976_077359_4653_COG,YES,X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_SLC\2_Preprocessing\GRD\202507\07\S1A_IW_GRDH_1SDV_20250707T092350_20250707T092402_059976_077359_4653_COG.SAFE | X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_SLC\2_Preprocessing\GRD\202507\07\S1A_IW_GRDH_1SDV_20250707T092350_20250707T092402_059976_077359_4653_COG.SAFE\S1A_IW_GRDH_1SDV_20250707T092350_20250707T092402_059976_077359_5AE2.SAFE-report-20250707T113241.pdf
2025-07-12 09:31:24,GRD,sentinel-1a,ascending,127,31.92,S1A_IW_GRDH_1SDV_20250712T093124_20250712T093154_060049_0775E2_CD87_COG,YES,X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_GRD\S1A_IW_GRDH_1SDV_20250712T093124_20250712T093154_060049_0775E2_CD87_COG.SAFE | X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_GRD\S1A_IW_GRDH_1SDV_20250712T093124_20250712T093154_060049_0775E2_CD87_COG.SAFE\S1A_IW_GRDH_1SDV_20250712T093124_20250712T093154_060049_0775E2_5D79.SAFE-report-20250712T115916.pdf | X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_SLC\2_Preprocessing\GRD\202507\12\S1A_IW_GRDH_1SDV_20250712T093124_20250712T093154_060049_0775E2_CD87_COG.SAFE | X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_SLC\2_Preprocessing\GRD\202507\12\S1A_IW_GRDH_1SDV_20250712T093124_20250712T093154_060049_0775E2_CD87_COG.SAFE\S1A_IW_GRDH_1SDV_20250712T093124_20250712T093154_060049_0775E2_5D79.SAFE-report-20250712T115916.pdf | X:\02_Analysis\20250725_Namgang\127\S1A_IW_GRDH_1SDV_20250712T093124_20250712T093154_060049_0775E2_5D79.zip
2025-07-12 09:31:24,SLC,sentinel-1a,ascending,127,31.93,S1A_IW_SLC__1SDV_20250712T093124_20250712T093154_060049_0775E2_6B90,YES,X:\02_Analysis\20250725_Namgang\127\S1A_IW_SLC__1SDV_20250712T093124_20250712T093154_060049_0775E2_6B90.zip
2025-07-18 21:31:33,GRD,sentinel-1c,descending,134,84.42,S1C_IW_GRDH_1SDV_20250718T213133_20250718T213202_003280_0069E2_18BF_COG,YES,X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_GRD\S1C_IW_GRDH_1SDV_20250718T213133_20250718T213202_003280_0069E2_6D9F.SAFE.zip
2025-07-18 21:31:33,SLC,sentinel-1c,descending,134,84.42,S1C_IW_SLC__1SDV_20250718T213133_20250718T213203_003280_0069E2_C2B1,YES,X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_SLC\1_Sen1_Imagery\S1C_IW_SLC__1SDV_20250718T213133_20250718T213203_003280_0069E2_C2B1.zip
2025-07-18 21:32:01,SLC,sentinel-1c,descending,134,31.14,S1C_IW_SLC__1SDV_20250718T213201_20250718T213236_003280_0069E2_3F5D,YES,X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_SLC\1_Sen1_Imagery\S1C_IW_SLC__1SDV_20250718T213201_20250718T213236_003280_0069E2_3F5D.zip | X:\02_Analysis\20250725_Namgang\134\S1C_IW_SLC__1SDV_20250718T213201_20250718T213236_003280_0069E2_3F5D.zip
2025-07-18 21:32:02,GRD,sentinel-1c,descending,134,29.95,S1C_IW_GRDH_1SDV_20250718T213202_20250718T213236_003280_0069E2_3A40_COG,YES,X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_GRD\S1C_IW_GRDH_1SDV_20250718T213202_20250718T213236_003280_0069E2_38C3.SAFE.zip | X:\02_Analysis\20250725_Namgang\134\S1C_IW_GRDH_1SDV_20250718T213202_20250718T213236_003280_0069E2_38C3.zip
2025-07-19 09:23:20,GRD,sentinel-1a,ascending,54,32.89,S1A_IW_GRDH_1SDV_20250719T092320_20250719T092350_060151_07795E_5CD5_COG,YES,X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_GRD\S1A_IW_GRDH_1SDV_20250719T092320_20250719T092350_060151_07795E_0ABD.SAFE.zip | X:\02_Analysis\20250725_Namgang\54\S1A_IW_GRDH_1SDV_20250719T092320_20250719T092350_060151_07795E_0ABD.zip
2025-07-19 09:23:20,SLC,sentinel-1a,ascending,54,32.85,S1A_IW_SLC__1SDV_20250719T092320_20250719T092350_060151_07795E_E3A5,YES,X:\02_Analysis\20250717_Flood\Sentinel-1\coherence\S1A_IW_SLC__1SDV_20250719T092320_20250719T092350_060151_07795E_E3A5_Orb_Stack_ifg_deb_TC_coh.tif | X:\02_Analysis\20250717_Flood\Sentinel-1\Sen1_SLC\1_Sen1_Imagery\S1A_IW_SLC__1SDV_20250719T092320_20250719T092350_060151_07795E_E3A5.zip | X:\02_Analysis\20250725_Namgang\54\S1A_IW_SLC__1SDV_20250719T092320_20250719T092350_060151_07795E_E3A5.zip
2025-07-24 09:31:23,GRD,sentinel-1a,ascending,127,31.06,S1A_IW_GRDH_1SDV_20250724T093123_20250724T093153_060224_077BED_38CF_COG,YES,X:\02_Analysis\20250725_Namgang\127\S1A_IW_GRDH_1SDV_20250724T093123_20250724T093153_060224_077BED_CC17.zip
2025-07-24 09:31:23,SLC,sentinel-1a,ascending,127,31.94,S1A_IW_SLC__1SDV_20250724T093123_20250724T093153_060224_077BED_46A4,YES,X:\02_Analysis\20250725_Namgang\127\S1A_IW_SLC__1SDV_20250724T093123_20250724T093153_060224_077BED_46A4.zip
2025-07-24 09:31:51,SLC,sentinel-1a,ascending,127,55.9,S1A_IW_SLC__1SDV_20250724T093151_20250724T093219_060224_077BED_DB29,NO,
2025-07-24 09:31:53,GRD,sentinel-1a,ascending,127,55.85,S1A_IW_GRDH_1SDV_20250724T093153_20250724T093218_060224_077BED_9C47_COG,NO,
2025-07-24 09:32:17,SLC,sentinel-1a,ascending,127,35.8,S1A_IW_SLC__1SDV_20250724T093217_20250724T093244_060224_077BED_0DCE,NO,
2025-07-24 09:32:18,GRD,sentinel-1a,ascending,127,37.3,S1A_IW_GRDH_1SDV_20250724T093218_20250724T093243_060224_077BED_BF20_COG,NO,
2025-07-25 09:22:02,SLC,sentinel-1c,ascending,54,2.76,S1C_IW_SLC__1SDV_20250725T092202_20250725T092229_003375_006CA3_E9BD,YES,X:\02_Analysis\20250725_Namgang\54\S1C_IW_SLC__1SDV_20250725T092202_20250725T092229_003375_006CA3_E9BD.zip
