collection,id,datetime,platform,orbit_state,relative_orbit,product_type,polarization,sk_overlap_pct,bbox,product_id
sentinel-1-slc,S1A_IW_SLC__1SDV_20250707T092321_20250707T092351_059976_077359_41BD,2025-07-07T09:23:21.355792Z,sentinel-1a,ascending,54,IW_SLC__1S,,32.92,"[127.493393, 34.391006, 130.621063, 36.581463]",dba23bec-bddd-4e5f-9966-da1bd6109763
sentinel-1-grd,S1A_IW_GRDH_1SDV_20250707T092321_20250707T092350_059976_077359_E45B_COG,2025-07-07T09:23:21.367456Z,sentinel-1a,ascending,54,IW_GRDH_1S,,31.98,"[127.509758, 34.391838, 130.622864, 36.534206]",5a129526-2a08-48e4-aac7-7523fa5d295d
sentinel-1-slc,S1A_IW_SLC__1SDV_20250707T092348_20250707T092402_059976_077359_71EB,2025-07-07T09:23:48.943413Z,sentinel-1a,ascending,54,IW_SLC__1S,,63.14,"[127.337708, 36.051872, 130.289124, 37.244522]",e1ae2ec6-d57e-4ab8-9a71-69a6371504e2
sentinel-1-grd,S1A_IW_GRDH_1SDV_20250707T092350_20250707T092402_059976_077359_4653_COG,2025-07-07T09:23:50.395182Z,sentinel-1a,ascending,54,IW_GRDH_1S,,63.09,"[127.338387, 36.139366, 130.27298, 37.243935]",22687ccb-efe4-447e-87b0-b7199fd96ce6
sentinel-1-slc,S1A_IW_SLC__1SDV_20250712T093124_20250712T093154_060049_0775E2_6B90,2025-07-12T09:31:24.527443Z,sentinel-1a,ascending,127,IW_SLC__1S,,31.93,"[125.582184, 33.771294, 128.687485, 35.962284]",183d6d1f-c041-4053-bde5-721524542490
sentinel-1-grd,S1A_IW_GRDH_1SDV_20250712T093124_20250712T093154_060049_0775E2_CD87_COG,2025-07-12T09:31:24.539267Z,sentinel-1a,ascending,127,IW_GRDH_1S,,31.92,"[125.582535, 33.772038, 128.689377, 35.96159]",a3da5125-7989-4259-a4a9-a259d54affce
sentinel-1-slc,S1C_IW_SLC__1SDV_20250718T213133_20250718T213203_003280_0069E2_C2B1,2025-07-18T21:31:33.219337Z,sentinel-1c,descending,134,IW_SLC__1S,,84.42,"[126.035416, 35.549145, 129.223785, 37.787468]",9484cbcc-c1d0-48d8-0de6-010756111287
sentinel-1-grd,S1C_IW_GRDH_1SDV_20250718T213133_20250718T213202_003280_0069E2_18BF_COG,2025-07-18T21:31:33.231275Z,sentinel-1c,descending,134,IW_GRDH_1S_C,,84.42,"[126.045517, 35.631111, 129.211777, 37.787937]",c2529887-505e-4ced-a477-98bd84ca3dfc
sentinel-1-slc,S1C_IW_SLC__1SDV_20250718T213201_20250718T213236_003280_0069E2_3F5D,2025-07-18T21:32:01.746347Z,sentinel-1c,descending,134,IW_SLC__1S,,31.14,"[125.645889, 33.606556, 128.810684, 36.072994]",9484cbcc-c1d0-48d8-0de6-01075611117a
sentinel-1-grd,S1C_IW_GRDH_1SDV_20250718T213202_20250718T213236_003280_0069E2_3A40_COG,2025-07-18T21:32:02.526760Z,sentinel-1c,descending,134,IW_GRDH_1S_C,,29.95,"[125.644417, 33.607216, 128.793137, 36.026802]",dd409dfd-58ea-44cd-9477-9579f8d23487
sentinel-1-slc,S1A_IW_SLC__1SDV_20250719T092320_20250719T092350_060151_07795E_E3A5,2025-07-19T09:23:20.721239Z,sentinel-1a,ascending,54,IW_SLC__1S,,32.85,"[127.498177, 34.392658, 130.62352, 36.581673]",1fe46dcd-b488-49cf-acb8-8a16e5ae8ef4
sentinel-1-grd,S1A_IW_GRDH_1SDV_20250719T092320_20250719T092350_060151_07795E_5CD5_COG,2025-07-19T09:23:20.732183Z,sentinel-1a,ascending,54,IW_GRDH_1S,,32.89,"[127.496147, 34.39275, 130.623413, 36.580891]",5dd0be99-5a7b-4011-84e8-eefcdae055aa
sentinel-1-slc,S1A_IW_SLC__1SDV_20250724T093123_20250724T093153_060224_077BED_46A4,2025-07-24T09:31:23.984880Z,sentinel-1a,ascending,127,IW_SLC__1S,,31.94,"[125.583252, 33.770718, 128.69519, 35.963089]",42754b90-742b-4933-baa9-fefbba8e573c
sentinel-1-grd,S1A_IW_GRDH_1SDV_20250724T093123_20250724T093153_060224_077BED_38CF_COG,2025-07-24T09:31:23.995783Z,sentinel-1a,ascending,127,IW_GRDH_1S,,31.06,"[125.594017, 33.771244, 128.701065, 35.916065]",8360018b-75a1-4e19-acf3-cb53067a3d8a
sentinel-1-slc,S1A_IW_SLC__1SDV_20250724T093151_20250724T093219_060224_077BED_DB29,2025-07-24T09:31:51.578668Z,sentinel-1a,ascending,127,IW_SLC__1S,,55.9,"[125.215714, 35.432167, 128.363998, 37.504848]",974eb64f-8167-436f-9547-d2a9165b51e4
sentinel-1-grd,S1A_IW_GRDH_1SDV_20250724T093153_20250724T093218_060224_077BED_9C47_COG,2025-07-24T09:31:53.023014Z,sentinel-1a,ascending,127,IW_GRDH_1S,,55.85,"[125.232849, 35.518536, 128.349976, 37.418446]",1333e31f-c63d-44d1-a99f-427435264d00
sentinel-1-slc,S1A_IW_SLC__1SDV_20250724T093217_20250724T093244_060224_077BED_0DCE,2025-07-24T09:32:17.340955Z,sentinel-1a,ascending,127,IW_SLC__1S,,35.8,"[124.851067, 36.982273, 128.050919, 38.996357]",d4e4c789-67d8-4109-9c1c-c8cda78181b4
sentinel-1-grd,S1A_IW_GRDH_1SDV_20250724T093218_20250724T093243_060224_077BED_BF20_COG,2025-07-24T09:32:18.023173Z,sentinel-1a,ascending,127,IW_GRDH_1S,,37.3,"[124.86525, 37.022484, 128.045029, 38.920498]",beafcd0f-b1e7-4953-97e9-57af8a37cb9f
sentinel-1-slc,S1C_IW_SLC__1SDV_20250725T092202_20250725T092229_003375_006CA3_E9BD,2025-07-25T09:22:02.967923Z,sentinel-1c,ascending,54,IW_SLC__1S,,2.76,"[127.70137, 33.615578, 130.779907, 35.636013]",9484cbcc-c1d0-48d8-0de6-0107561ce766
sentinel-1-grd,S1C_IW_GRDH_1SDV_20250725T092204_20250725T092229_003375_006CA3_15C2_COG,2025-07-25T09:22:04.255802Z,sentinel-1c,ascending,54,IW_GRDH_1S_C,,1.82,"[127.714294, 33.693264, 130.774673, 35.599083]",3e137ded-baff-4846-9219-7657d9537307
sentinel-1-slc,S1C_IW_SLC__1SDV_20250725T092227_20250725T092255_003375_006CA3_900D,2025-07-25T09:22:27.770265Z,sentinel-1c,ascending,54,IW_SLC__1S,,57.79,"[127.329872, 35.108643, 130.480835, 37.186302]",9484cbcc-c1d0-48d8-0de6-0107561ce5ba
sentinel-1-grd,S1C_IW_GRDH_1SDV_20250725T092229_20250725T092254_003375_006CA3_92BD_COG,2025-07-25T09:22:29.255672Z,sentinel-1c,ascending,54,IW_GRDH_1S_C,,59.01,"[127.357956, 35.198631, 130.47525, 37.102001]",aff2d021-6110-401d-91f5-45c91df74972
sentinel-1-slc,S1C_IW_SLC__1SDV_20250725T092253_20250725T092320_003375_006CA3_70DD,2025-07-25T09:22:53.553108Z,sentinel-1c,ascending,54,IW_SLC__1S,,55.67,"[126.964813, 36.659916, 130.167099, 38.677818]",9484cbcc-c1d0-48d8-0de6-0107561ce058
sentinel-1-grd,S1C_IW_GRDH_1SDV_20250725T092254_20250725T092319_003375_006CA3_4336_COG,2025-07-25T09:22:54.255547Z,sentinel-1c,ascending,54,IW_GRDH_1S_C,,55.66,"[126.992111, 36.703281, 130.173462, 38.604053]",38541d61-df80-4fe9-8593-bb6ece422fa7
sentinel-1-slc,S1C_IW_SLC__1SDV_20250725T092318_20250725T092335_003375_006CA3_711B,2025-07-25T09:23:18.376005Z,sentinel-1c,ascending,54,IW_SLC__1S,,15.24,"[126.754395, 38.154152, 129.867783, 39.564884]",9484cbcc-c1d0-48d8-0de6-0107561ce1f1
sentinel-1-grd,S1C_IW_GRDH_1SDV_20250725T092319_20250725T092335_003375_006CA3_9ADF_COG,2025-07-25T09:23:19.255421Z,sentinel-1c,ascending,54,IW_GRDH_1S_C,,13.58,"[126.747475, 38.206776, 129.866318, 39.564579]",fc31ea8a-0f25-4e09-a8da-1da1e082b219
sentinel-1-slc,S1A_IW_SLC__1SDV_20250731T092320_20250731T092350_060326_077F5F_E760,2025-07-31T09:23:20.495285Z,sentinel-1a,ascending,54,IW_SLC__1S,,32.81,"[127.492714, 34.391949, 130.632477, 36.583492]",2cbe99f7-8306-4c66-b517-8b2d87551746
sentinel-1-grd,S1A_IW_GRDH_1SDV_20250731T092320_20250731T092349_060326_077F5F_9CDF_COG,2025-07-31T09:23:20.506623Z,sentinel-1a,ascending,54,IW_GRDH_1S,,31.77,"[127.509186, 34.392765, 130.643341, 36.537189]",c70b412d-1772-44fd-b8bc-fac07e91bd46
sentinel-1-slc,S1A_IW_SLC__1SDV_20250731T092348_20250731T092415_060326_077F5F_9F16,2025-07-31T09:23:48.068517Z,sentinel-1a,ascending,54,IW_SLC__1S,,60.38,"[127.120644, 36.051582, 130.299484, 38.124756]",27ee4883-6a22-48c7-8dbe-c19dd64a2195
sentinel-1-grd,S1A_IW_GRDH_1SDV_20250731T092349_20250731T092414_060326_077F5F_0043_COG,2025-07-31T09:23:49.520230Z,sentinel-1a,ascending,54,IW_GRDH_1S,,60.29,"[127.146599, 36.139446, 130.294876, 38.039463]",67d8ebe7-c3fa-4b70-b297-b1d753af8a85
sentinel-1-slc,S1A_IW_SLC__1SDV_20250731T092413_20250731T092440_060326_077F5F_C5F7,2025-07-31T09:24:13.834915Z,sentinel-1a,ascending,54,IW_SLC__1S,,26.8,"[126.749359, 37.601105, 129.9832, 39.615654]",feedc9aa-3578-42c0-b9e7-f623f7581f38
sentinel-1-grd,S1A_IW_GRDH_1SDV_20250731T092414_20250731T092439_060326_077F5F_0CC0_COG,2025-07-31T09:24:14.520091Z,sentinel-1a,ascending,54,IW_GRDH_1S,,27.26,"[126.774277, 37.643265, 129.989304, 39.540913]",aaff8533-865e-4dcd-a45e-3c5e31093f03
