위성,센서군,구분,운영기관,국가,촬영일시,위도,경도,시도,구름량(%),제품ID,비고,원본경로
S2C,Sentinel-2,광학,ESA / Copernicus,유럽연합(EU),2026-06-25 02:15:31,35.617957,126.29357,"광주, 충남, 전북, 전남",,S2C_MSIL2A_20260625T021531_N0512_R003_T52SBE_20260625T054519,"구름량 정보 없음 (원본 MTD_MSIL2A.xml 미보관, 지수 산출물만 존재)",X:\02_Analysis\20260708_Flood\Sentinel-2\S2_Indices\S2C_MSIL2A_20260625T021531_N0512_R003_T52SBE_20260625T054519
S2C,Sentinel-2,광학,ESA / Copernicus,유럽연합(EU),2026-06-25 02:15:31,37.418642,126.230065,"서울, 인천, 경기, 충남, 북한",,S2C_MSIL2A_20260625T021531_N0512_R003_T52SBG_20260625T054519,"구름량 정보 없음 (원본 MTD_MSIL2A.xml 미보관, 지수 산출물만 존재)",X:\02_Analysis\20260708_Flood\Sentinel-2\S2_Indices\S2C_MSIL2A_20260625T021531_N0512_R003_T52SBG_20260625T054519
S2C,Sentinel-2,광학,ESA / Copernicus,유럽연합(EU),2026-06-25 02:15:31,36.539058,127.378987,"대전, 세종, 경기, 충북, 충남, 전북, 경북",,S2C_MSIL2A_20260625T021531_N0512_R003_T52SCF_20260625T054519,"구름량 정보 없음 (원본 MTD_MSIL2A.xml 미보관, 지수 산출물만 존재)",X:\02_Analysis\20260708_Flood\Sentinel-2\S2_Indices\S2C_MSIL2A_20260625T021531_N0512_R003_T52SCF_20260625T054519
S2C,Sentinel-2,광학,ESA / Copernicus,유럽연합(EU),2026-06-25 02:15:31,37.439723,127.359754,"서울, 인천, 경기, 강원, 충북, 충남, 북한",,S2C_MSIL2A_20260625T021531_N0512_R003_T52SCG_20260625T054519,"구름량 정보 없음 (원본 MTD_MSIL2A.xml 미보관, 지수 산출물만 존재)",X:\02_Analysis\20260708_Flood\Sentinel-2\S2_Indices\S2C_MSIL2A_20260625T021531_N0512_R003_T52SCG_20260625T054519
S2C,Sentinel-2,광학,ESA / Copernicus,유럽연합(EU),2026-06-25 02:15:31,36.549009,128.495627,"강원, 충북, 경북",,S2C_MSIL2A_20260625T021531_N0512_R003_T52SDF_20260625T054519,"구름량 정보 없음 (원본 MTD_MSIL2A.xml 미보관, 지수 산출물만 존재)",X:\02_Analysis\20260708_Flood\Sentinel-2\S2_Indices\S2C_MSIL2A_20260625T021531_N0512_R003_T52SDF_20260625T054519
S1A,Sentinel-1,SAR,ESA / Copernicus,유럽연합(EU),2026-06-25 09:31:13,34.843312,127.157269,"대구, 광주, 전북, 전남, 경북, 경남, 제주",,S1A_IW_GRDH_1SDV_20260625T093113_20260625T093142_065124_083589_0999_COG.zip,,X:\02_Analysis\20260708_Flood\Sentinel-1\S1A_IW_GRDH_1SDV_20260625T093113_20260625T093142_065124_083589_0999_COG.zip
S1A,Sentinel-1,SAR,ESA / Copernicus,유럽연합(EU),2026-06-25 09:31:13,34.842763,127.142545,"대구, 광주, 전북, 전남, 경북, 경남, 제주",,S1A_IW_GRDH_1SDV_20260625T093113_20260625T093142_065124_083589_0999_COG_rtc_db.tif,,X:\02_Analysis\20260708_Flood\Sentinel-1\rtc_grd\S1A_IW_GRDH_1SDV_20260625T093113_20260625T093142_065124_083589_0999_COG_rtc_db.tif
S1A,Sentinel-1,SAR,ESA / Copernicus,유럽연합(EU),2026-06-25 09:31:40,36.027393,126.896759,"대전, 세종, 충북, 충남, 전북, 경북, 경남",,S1A_IW_SLC__1SDV_20260625T093140_20260625T093154_065124_083589_1257.zip,,X:\02_Analysis\20260708_Flood\Sentinel-1\SLC\S1A_IW_SLC__1SDV_20260625T093140_20260625T093154_065124_083589_1257.zip
S1A,Sentinel-1,SAR,ESA / Copernicus,유럽연합(EU),2026-06-25 09:31:40,36.100261,127.013616,"대전, 세종, 충북, 충남, 전북, 경남",,S1A_IW_SLC__1SDV_20260625T093140_20260625T093154_065124_083589_1257_rtc_db.tif,,X:\02_Analysis\20260708_Flood\Sentinel-1\rtc_slc\S1A_IW_SLC__1SDV_20260625T093140_20260625T093154_065124_083589_1257_rtc_db.tif
S1A,Sentinel-1,SAR,ESA / Copernicus,유럽연합(EU),2026-06-25 09:31:42,36.071442,126.888462,"대전, 세종, 충북, 충남, 전북, 경북, 경남",,S1A_IW_GRDH_1SDV_20260625T093142_20260625T093154_065124_083589_FAC3_COG.zip,,X:\02_Analysis\20260708_Flood\Sentinel-1\S1A_IW_GRDH_1SDV_20260625T093142_20260625T093154_065124_083589_FAC3_COG.zip
