date,time_utc,satellite,scene_id,orbit,evidence,log
20250705,094046,S1A,C942,POEORB,확정,_vh25.log
20250707,092321,S1A,EDCA,POEORB,추정,_vh2025.log
20250707,092350,S1A,5AE2,POEORB,추정,_vh2025.log
20250712,093124,S1A,5D79,POEORB,추정,_vh2025.log
20250717,094045,S1A,FF05,POEORB,확정,_vh25.log
20250718,213133,S1C,6D9F,RESORB,로그없음,-
20250718,213202,S1C,38C3,RESORB,로그없음,-
20250719,092320,S1A,0ABD,POEORB,추정,_vh2025.log
20250724,093123,S1A,CC17,POEORB,추정,_vh2025.log
20250724,093153,S1A,A1F0,POEORB,추정,_vh2025.log
20250724,093218,S1A,9711,POEORB,추정,_vh2025.log
20250724,093243,S1A,6CFA,RESORB,로그없음,-
20250725,092204,S1C,47FE,RESORB,로그없음,-
20250725,092229,S1C,6951,RESORB,로그없음,-
20250725,092254,S1C,F86B,RESORB,로그없음,-
20250725,092319,S1C,6EDB,RESORB,로그없음,-
20250729,094045,S1A,AAB6,POEORB,확정,_vh25.log
20250731,092320,S1A,625F,POEORB,추정,_vh2025.log
20250731,092349,S1A,4458,POEORB,추정,_vh2025.log
20250731,092414,S1A,6B3C,?,진행중,_vh_new25.log
20250806,092202,S1C,D0A4,POEORB,추정,_vh_re25.log
20250806,092231,S1C,E160,POEORB,추정,_vh_re25.log
20250806,092256,S1C,3EEB,POEORB,추정,_vh_re25.log
20250811,092946,S1C,CDCC,RESORB,로그없음,-
20250811,093011,S1C,2B35,POEORB,추정,_vh_a127_25.log
20250811,093036,S1C,9FBB,POEORB,추정,_vh_a127_25.log
20250811,093101,S1C,9F4F,POEORB,추정,_vh_geum_9F4F.log
20250811,093126,S1C,037F,RESORB,로그없음,-
20250812,092349,S1A,C40B,POEORB,확정,_vh_han_C40B.log
20250812,092414,S1A,9A11,POEORB,확정,_vh_han_9A11.log
20260701,213824,S1C,5C8D,RESORB,로그없음,-
20260701,213849,S1C,54D9,RESORB,로그없음,-
20260701,213914,S1C,0FEB,RESORB,로그없음,-
20260701,213939,S1C,EC8B,RESORB,로그없음,-
20260701,214004,S1C,8E98,RESORB,로그없음,-
20260702,093033,S1D,EF53,POEORB,추정,_vh2026.log
20260702,093102,S1D,5469,POEORB,추정,_vh2026.log
20260703,212150,S1C,32AE,RESORB,로그없음,-
20260703,212215,S1C,64DE,RESORB,로그없음,-
20260703,212305,S1C,9A73,RESORB,로그없음,-
20260703,212355,S1C,6942,POEORB,추정,_vh_6942.log
20260704,091612,S1D,1571,RESORB,로그없음,-
20260706,214653,S1C,427D,RESORB,로그없음,-
20260706,214718,S1C,74FD,RESORB,로그없음,-
20260706,214743,S1C,F040,RESORB,로그없음,-
20260707,093954,S1D,5D47,RESORB,로그없음,-
20260707,094024,S1D,525F,RESORB,로그없음,-
20260713,213825,S1C,4265,RESORB,로그없음,-
20260713,213850,S1C,AEB7,RESORB,로그없음,-
