date,orbit,frames,method,otsu_db,sel_tiles,cand_tiles,pooled_eta,water_km2,valid_px,output
20260625,003391,2,tile-otsu,-14.65,43,855,0.8314,1470.102,856714061,flood_water_total_20260625_o003391.tif
20260625,065124,2,tile-otsu,-12.85,24,477,0.6877,2272.82,452341220,flood_water_total_20260625_o065124.tif
20260626,008282,8,tile-otsu,-15.05,146,2913,0.7079,2957.939,2938533161,flood_water_total_20260626_o008282.tif
20260701,008355,6,tile-otsu,-15.15,118,2341,0.8452,3017.348,2369577220,flood_water_total_20260701_o008355.tif
20260702,003493,2,tile-otsu,-13.35,35,697,0.6491,2508.747,663940946,flood_water_total_20260702_o003493.tif
20260703,008384,5,tile-otsu,-14.55,37,732,0.5458,738.261,707994393,flood_water_total_20260703_o008384.tif
20260704,003522,1,tile-otsu,-14.15,29,571,0.6542,359.883,571152060,flood_water_total_20260704_o003522.tif
20260706,008428,3,tile-otsu,-14.35,42,827,0.8424,1306.874,822675662,flood_water_total_20260706_o008428.tif
20260707,003566,2,tile-otsu,-14.25,43,855,0.8499,1542.549,856736866,flood_water_total_20260707_o003566.tif
20260713,008530,5,tile-otsu,-13.85,89,1778,0.8251,2619.13,1785310317,flood_water_total_20260713_o008530.tif
20260714,003668,2,tile-otsu,-12.05,35,697,0.5259,3445.92,663941018,flood_water_total_20260714_o003668.tif
20260714,003675,2,tile-otsu,-12.15,55,1087,0.583,3223.973,1087847703,flood_water_total_20260714_o003675.tif
20260715,008552,3,tile-otsu,-13.05,42,836,0.6026,1549.896,848992148,flood_water_total_20260715_o008552.tif
20260716,003697,1,tile-otsu,-14.65,16,309,0.7938,203.326,301115077,flood_water_total_20260716_o003697.tif
20260716,003704,2,fallback,-16.0,22,438,0.5101,209.697,413351526,flood_water_total_20260716_o003704.tif
20260718,008603,3,tile-otsu,-15.15,42,827,0.8646,1438.081,822685462,flood_water_total_20260718_o008603.tif
20260719,003741,2,tile-otsu,-14.85,43,855,0.8627,1886.754,856694781,flood_water_total_20260719_o003741.tif
20260720,008632,7,tile-otsu,-14.35,118,2351,0.7404,2481.39,2348901935,flood_water_total_20260720_o008632.tif
20260725,008705,5,tile-otsu,-14.85,89,1780,0.8516,2452.523,1786069171,flood_water_total_20260725_o008705_frost.tif
20260726,003843,1,tile-otsu,-13.25,24,478,0.6118,1380.705,451908445,flood_water_total_20260726_o003843_frost.tif
20260713,008530,5,tile-otsu,-13.75,89,1778,0.8145,2654.33,1785447716,flood_water_total_20260713_o008530_frost.tif
20260719,003741,2,tile-otsu,-14.75,43,855,0.849,1927.87,856827218,flood_water_total_20260719_o003741_frost.tif
20260720,008632,8,tile-otsu,-14.35,145,2911,0.7139,2828.728,2938063612,flood_water_total_20260720_o008632_frost.tif
20260701,008355,5,tile-otsu,-14.95,89,1779,0.8169,2426.402,1785597880,flood_water_total_20260701_o008355_frost.tif
20260702,003493,2,tile-otsu,-13.15,35,697,0.641,2777.169,663996153,flood_water_total_20260702_o003493_frost.tif
20260703,008384,4,tile-otsu,-14.25,25,499,0.5573,502.206,467198635,flood_water_total_20260703_o008384_frost.tif
20260714,003668,2,tile-otsu,-11.45,35,697,0.5139,4798.661,663995185,flood_water_total_20260714_o003668_frost.tif
20260714,003675,2,tile-otsu,-11.85,55,1087,0.5651,3778.089,1087928037,flood_water_total_20260714_o003675_frost.tif
20260715,008552,3,tile-otsu,-12.75,44,862,0.5822,1809.498,867801895,flood_water_total_20260715_o008552_frost.tif
20260727,008734,2,tile-otsu,-14.05,17,326,0.4393,394.004,320471185,flood_water_total_20260727_o008734_frost.tif
