file,n_water_px,n_valid_px,area_pixel_centerlat_km2,area_pixel_perrow_km2
flood_water_total_20250707_o059976_frost.tif,19082957,444034464,1547.418,1544.685
flood_water_total_20250712_o060049_frost.tif,17669049,308308219,1449.728,1446.765
flood_water_total_20250718_o003280_frost.tif,24262394,879277368,1970.395,1961.077
flood_water_total_20250719_o060151_frost.tif,3713189,273862334,302.349,302.151
flood_water_total_20250724_o060224_frost.tif,26062075,1051231870,2099.193,2089.068
flood_water_total_20250725_o003375_frost.tif,13528209,907231750,1085.671,1081.922
flood_water_total_20250731_o060326_frost.tif,14857583,906232308,1187.11,1188.181
flood_water_total_20260625_o003391.tif,19175959,856714061,1470.102,1464.168
flood_water_total_20260625_o065124.tif,27813023,452341220,2272.82,2269.551
flood_water_total_20260626_o008282.tif,37886695,2938533161,2957.939,2987.92
flood_water_total_20260701_o008355.tif,39193375,2369577220,3017.348,2996.938
flood_water_total_20260701_o008355_frost.tif,31181836,1785597880,2426.402,2419.656
flood_water_total_20260702_o003493.tif,30890459,663940946,2508.747,2502.284
flood_water_total_20260702_o003493_frost.tif,34195576,663996153,2777.169,2769.237
flood_water_total_20260703_o008384.tif,9445260,707994393,738.261,742.389
flood_water_total_20260703_o008384_frost.tif,6425187,467198635,502.206,497.455
flood_water_total_20260704_o003522.tif,4880784,571152060,359.883,359.56
flood_water_total_20260706_o008428.tif,16928065,822675662,1306.874,1290.369
flood_water_total_20260707_o003566.tif,20120938,856736866,1542.549,1534.214
flood_water_total_20260713_o008530.tif,33658594,1785310317,2619.13,2603.806
flood_water_total_20260713_o008530_frost.tif,34110951,1785447716,2654.33,2639.959
flood_water_total_20260714_o003668.tif,42429865,663941018,3445.92,3437.713
flood_water_total_20260714_o003668_frost.tif,59086257,663995185,4798.661,4787.14
flood_water_total_20260714_o003675.tif,40206461,1087847703,3223.973,3230.971
flood_water_total_20260714_o003675_frost.tif,47116904,1087928037,3778.089,3787.46
flood_water_total_20260715_o008552.tif,19271481,848992148,1549.896,1544.082
flood_water_total_20260715_o008552_frost.tif,22499392,867801895,1809.498,1804.023
flood_water_total_20260716_o003697.tif,2743702,301115077,203.326,202.567
flood_water_total_20260716_o003704.tif,2472203,413351526,209.697,208.479
flood_water_total_20260718_o008603.tif,18627586,822685462,1438.081,1419.375
flood_water_total_20260719_o003741.tif,24610923,856694781,1886.754,1872.204
flood_water_total_20260719_o003741_frost.tif,25147242,856827218,1927.87,1912.675
flood_water_total_20260720_o008632.tif,31455986,2348901935,2481.39,2494.299
flood_water_total_20260720_o008632_frost.tif,36231503,2938063612,2828.728,2841.812
flood_water_total_20260725_o008705_frost.tif,31517547,1786069171,2452.523,2430.637
flood_water_total_20260726_o003843_frost.tif,16895923,451908445,1380.705,1377.396
flood_water_total_20260727_o008734_frost.tif,4932915,320471185,394.004,396.723
