id,지역,after_date,after_scen,수체km²,date_1,scen_1,수체km²_1,date_2,scen_2,수체km²_2
1,황주군,2026-07-25,59A8,21.52,2026-07-13,93FC,18.94,,,
2,안악군,2026-07-25,59A8,11.83,2026-07-13,93FC,7.39,2026-07-19,0B91,6.94
3,신평군,2026-07-25,59A8,19.5,2026-07-13,93FC,9.36,,,
4,연탄군,2026-07-25,59A8,8.3,2026-07-13,93FC,3.68,,,
5,판교군,2026-07-25,59A8,4.75,2026-07-13,93FC,1.72,2026-07-20,392D,2.95
6,천마군,2026-07-25,59A8,10.45,2026-07-13,AEB7,7.74,2026-07-19,3194,9.64
7,박천군,2026-07-25,"4303,59A8",3.62,2026-07-13,"AEB7,93FC",2.48,,,
8,안변군,2026-07-25,4303,5.37,2026-06-26,303C,3.56,2026-07-20,392D,5.73
9,곽산군,2026-07-25,"4303,59A8",5.62,2026-07-13,"AEB7,93FC",3.62,2026-07-19,0B91,4.6
10,황강댐,2026-07-25,59A8,21.28,2026-07-13,93FC,17.92,2026-07-20,DD29,25.93
