scene,date,zip,rotated,bbox_kp,bbox_nk,bbox_sk,fp_kp,fp_nk,fp_sk,bbox_false_positive
0999,20260625,False,False,0.4333,0.0,0.2893,,,,
FAC3,20260625,False,False,0.614,0.0,0.5994,,,,
A392,20260626,False,False,0.0073,0.0,0.0,,,,
D578,20260626,False,False,0.3026,0.2741,0.0,,,,
1A5D,20260626,False,False,0.6441,0.5682,0.0,,,,
303C,20260626,False,False,0.4228,0.3625,0.0541,,,,
3A16,20260626,False,False,0.783,0.1898,0.5943,,,,
02C6,20260626,False,False,0.8179,0.0,0.7716,,,,
194A,20260626,False,False,0.4276,0.0,0.261,,,,
BE31,20260626,False,False,0.0402,0.0,0.0,,,,
E265,20260701,False,False,0.0,0.0,0.0,,,,
5C8D,20260701,True,False,0.2125,0.205,0.0,0.1896,0.1813,0.0,False
54D9,20260701,True,False,0.7818,0.7345,0.0,0.8358,0.7851,0.0,False
0FEB,20260701,True,False,0.7556,0.6907,0.0914,0.7752,0.7455,0.0667,False
EC8B,20260701,True,False,0.3681,0.1411,0.2112,0.3142,0.0845,0.1788,False
8E98,20260701,True,False,0.1465,0.0,0.1059,0.0895,0.0,0.0628,False
32AE,20260703,True,False,0.1847,0.1103,0.0,0.2015,0.1063,0.0,False
64DE,20260703,True,False,0.1392,0.0838,0.0,0.1375,0.0677,0.0,False
9A73,20260703,True,False,0.217,0.0001,0.1448,0.1678,0.0,0.1031,False
BB45,20260703,False,False,0.468,0.0,0.3776,,,,
6942,20260703,True,False,0.2316,0.0,0.1226,0.2406,0.0,0.1117,False
427D,20260706,True,False,0.1587,0.1391,0.0,0.1385,0.1141,0.0,False
74FD,20260706,True,False,0.2494,0.2436,0.0,0.1986,0.2004,0.0,False
F040,20260706,True,False,0.0636,0.0504,0.0,0.0554,0.0414,0.0,False
4265,20260713,True,False,0.2125,0.205,0.0,0.1896,0.1814,0.0,False
AEB7,20260713,True,False,0.7818,0.7345,0.0,0.8359,0.7851,0.0,False
93FC,20260713,True,False,0.7556,0.6906,0.0914,0.7752,0.7455,0.0667,False
3C22,20260713,True,False,0.368,0.1411,0.2111,0.3141,0.0844,0.1788,False
1A5A,20260713,True,False,0.1465,0.0,0.1059,0.0894,0.0,0.0628,False
2DA8,20260715,True,False,0.175,0.0,0.0831,0.1241,0.0,0.0182,False
AC28,20260715,True,False,0.664,0.0,0.5637,0.6858,0.0,0.5904,False
C278,20260715,True,False,0.569,0.1362,0.4261,0.5827,0.1261,0.4531,False
2B06,20260718,True,False,0.1587,0.1391,0.0,0.1385,0.1141,0.0,False
C9CC,20260718,True,False,0.2494,0.2436,0.0,0.1986,0.2004,0.0,False
6EBE,20260718,False,False,0.0636,0.0504,0.0,,,,
CE47,20260720,True,False,0.3027,0.2741,0.0,0.3348,0.2672,0.0,False
0CEF,20260720,True,False,0.6436,0.5678,0.0,0.6845,0.6007,0.0,False
392D,20260720,True,False,0.4224,0.3621,0.0542,0.3742,0.3272,0.0235,False
DD29,20260720,True,False,0.7828,0.1895,0.5944,0.8504,0.1748,0.7066,False
F314,20260720,True,False,0.8183,0.0,0.772,0.8489,0.0,0.8018,False
74BD,20260720,True,False,0.4277,0.0,0.261,0.456,0.0,0.2344,False
93DD,20260720,True,False,0.0402,0.0,0.0,0.0527,0.0,0.0,False
3043,20260625,False,False,0.2433,0.2343,0.0,,,,
794A,20260625,False,False,0.1014,0.0862,0.0,,,,
EF53,20260702,True,False,0.4341,0.0,0.2915,0.4969,0.0,0.313,False
5469,20260702,True,False,0.5757,0.0,0.5418,0.5902,0.0,0.5468,False
1571,20260704,True,False,0.2376,0.1991,0.0,0.2927,0.217,0.0,False
5D47,20260707,True,False,0.2434,0.2343,0.0,0.2053,0.1996,0.0,False
525F,20260707,True,False,0.1014,0.0862,0.0,0.0817,0.0665,0.0,False
376D,20260714,True,False,0.434,0.0,0.2914,0.4968,0.0,0.3129,False
FE43,20260714,True,False,0.5756,0.0,0.5418,0.5902,0.0,0.5468,False
8EF1,20260714,True,False,0.7987,0.1798,0.6034,0.8483,0.1588,0.7155,False
B126,20260714,True,False,0.751,0.0,0.6166,0.8132,0.0,0.696,False
9FFF,20260716,True,False,0.3534,0.2859,0.0,0.4433,0.3418,0.0,False
3191,20260716,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
4C7C,20260716,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
0B91,20260719,True,False,0.2435,0.2345,0.0,0.2053,0.1996,0.0,False
3194,20260719,True,False,0.1014,0.0862,0.0,0.0817,0.0665,0.0,False
