scene,date,bbox_land_km2,fp_land_km2,phantom_land_km2,phantom_pct_of_bbox_land
5C8D,20260701,13122.5,8536.4,4586.2,34.9
54D9,20260701,47756.1,37381.2,10375.1,21.7
0FEB,20260701,46414.7,34651.8,11763.0,25.3
EC8B,20260701,22528.4,14029.2,8499.7,37.7
8E98,20260701,8556.2,3777.1,4779.1,55.9
32AE,20260703,11348.2,8939.2,2409.1,21.2
64DE,20260703,8444.8,6064.9,2380.0,28.2
9A73,20260703,13324.2,7471.6,5852.6,43.9
6942,20260703,12450.5,9220.3,3230.2,25.9
427D,20260706,9543.1,6092.9,3450.2,36.2
74FD,20260706,14866.4,8648.5,6217.9,41.8
F040,20260706,3786.9,2406.8,1380.4,36.5
4265,20260713,13123.1,8536.7,4586.4,34.9
AEB7,20260713,47756.7,37381.5,10375.5,21.7
93FC,20260713,46414.5,34651.9,11762.7,25.3
3C22,20260713,22522.1,14023.1,8499.5,37.7
1A5A,20260713,8553.1,3774.3,4778.8,55.9
2DA8,20260715,10292.8,5339.3,4955.2,48.1
AC28,20260715,39397.9,29678.0,9720.0,24.7
C278,20260715,47043.4,35896.8,11147.7,23.7
2B06,20260718,9543.6,6093.7,3449.9,36.1
C9CC,20260718,14866.3,8649.4,6216.9,41.8
CE47,20260720,18344.2,14730.1,3614.1,19.7
0CEF,20260720,38855.1,29976.9,8878.1,22.8
392D,20260720,25485.2,16402.0,9083.2,35.6
DD29,20260720,47206.0,37317.3,9888.7,20.9
F314,20260720,49226.9,37260.2,11967.4,24.3
74BD,20260720,25717.4,19953.7,5763.7,22.4
93DD,20260720,2016.5,1865.1,151.4,7.5
EF53,20260702,29494.7,24914.1,4580.6,15.5
5469,20260702,37751.8,28451.1,9300.7,24.6
1571,20260704,16177.1,14754.6,1422.5,8.8
5D47,20260707,16527.3,10293.9,6233.4,37.7
525F,20260707,7949.1,4753.9,3195.2,40.2
376D,20260714,29496.8,24915.0,4581.8,15.5
FE43,20260714,37750.7,28450.2,9300.5,24.6
8EF1,20260714,54343.2,42598.9,11744.3,21.6
B126,20260714,58138.4,46826.8,11311.6,19.5
9FFF,20260716,16046.4,14187.0,1859.4,11.6
3191,20260716,0.0,0.0,0.0,0.0
4C7C,20260716,0.0,0.0,0.0,0.0
0B91,20260719,16524.6,10288.0,6236.6,37.7
3194,20260719,7951.3,4755.1,3196.1,40.2
